method,option_type,price,delta,gamma,vega,vega_per_1pct_vol,theta,theta_per_day,rho,rho_per_1pct_rate,spot_bump,vol_bump,rate_bump,time_bump,n_paths
closed_form,call,10.450583572185565,0.6368306511756191,0.018762017345846895,37.52403469169379,0.3752403469169379,-6.414027546438197,-0.01757267820941972,53.232481545376345,0.5323248154537634,,,,,
black_scholes,call,10.450583572185565,0.6367446949029052,0.018759720697865134,37.52098305590863,0.3752098305590863,-6.414031273049581,-0.01757268841931392,53.23248077413467,0.5323248077413467,1.0,0.01,0.0001,0.0027397260273972603,250000.0
monte_carlo,call,10.436583583249313,0.6369203684042528,0.01868881316034887,37.42972929491843,0.37429729294918435,-6.407215363097447,-0.017554014693417663,53.288890823548485,0.5328889082354848,1.0,0.01,0.0001,0.0027397260273972603,250000.0
